H,S,V,amarillo
83.48,0.56,0.64,0
187.24,0.97,0.94,0
240,0.5,0.13,0
276,0.92,0.94,1
200,0.8,0.47,1
108.57,0.78,0.42,0
311.25,0.76,0.66,1
62.86,0.78,0.42,0
62.86,0.49,0.67,0
62.86,0.78,0.42,0
341.25,0.76,0.66,0
175.61,0.95,0.67,0
166.53,0.96,0.8,0
40.91,0.39,0.88,0
40.91,0.39,0.88,0
78.62,0.83,0.55,0
330,0.67,0.94,0
348.75,0.84,0.6,0
66.67,0.16,0.86,0
78.62,0.83,0.55,0
162.11,0.9,0.99,0
120,0.36,0.74,0
48.95,0.95,0.63,0
61.94,0.94,0.52,0
150,0.58,0.97,1
224,0.71,0.66,1
131.54,0.96,0.85,0
178.95,0.9,0.99,0
62.07,0.83,0.55,0
120,0.02,0.99,0
162.11,0.9,0.99,0
176.25,0.52,0.97,1
175.61,0.95,0.67,0
120,0.02,0.99,0
70.91,0.37,0.94,0
108.57,0.78,0.42,0
352.5,0.62,0.82,0
311.25,0.76,0.66,1
131.54,0.96,0.85,0
78.62,0.83,0.55,0
162.11,0.9,0.99,0
48.95,0.68,0.88,0
330,0.67,0.56,0
315,0.74,0.85,1
315,0.74,0.85,1
62.86,0.78,0.42,0
3.53,0.74,0.72,0
187.24,0.97,0.94,0
330,0.67,0.94,0
123.33,0.58,0.97,1
330,0.67,0.94,0
337.5,0.73,0.69,0
62.86,0.78,0.42,0
288,0.5,0.63,1
345,0.8,0.78,0
40.91,0.39,0.88,0
351,0.87,0.72,0
334.29,0.17,0.66,0
178.18,0.54,0.96,1
120,0.02,0.99,0
30,0.56,0.28,0
186.52,0.82,0.88,1
315,0.74,0.85,1
120,0.02,0.99,0
62.86,0.78,0.42,0
162.11,0.9,0.99,0
80,0.81,0.99,0
305,0.52,0.72,1
62.86,0.78,0.42,0
108.57,0.78,0.42,0
187.24,0.97,0.94,0
85.71,0.78,0.42,0
345,0.8,0.78,0
354,0.67,0.94,0
91.2,0.81,0.97,0
318,0.77,0.82,1
335,0.48,0.78,0
337.5,0.73,0.69,0
40.91,0.39,0.88,0
66.67,0.16,0.86,0
318.75,0.59,0.85,1
120,0.02,0.99,0
335,0.48,0.78,0
120,0.02,0.99,0
62.86,0.49,0.67,0
280,0.22,0.85,1
30,0.56,0.28,0
224,0.71,0.66,1
61.94,0.94,0.52,0
77.42,0.94,0.52,0
334.29,0.17,0.66,0
348.75,0.84,0.6,0
166.53,0.96,0.8,0
330,0.67,0.94,0
240,0.5,0.13,0
62.86,0.49,0.67,0
280,0.22,0.85,1
72,0.12,0.67,0
78.62,0.83,0.55,0
311.25,0.76,0.66,1
